company,stage,date,signal_or_failure,magnitude,what_it_demonstrated,what_it_did_not_demonstrate,source_id,evidence_class,confidence,notes
Amazon.com,stage1,1995-12-31,"Card details were captured off-line (e-mail, telephone) per the filing, and by fax per the Nov-1995 press only; reject handling is undocumented; nine customer-service e-mail addresses served as the service desk",9 addresses; 0 documented reject process,That payment ran through unsecured channels in a period with no card-security standard,That fraud or chargebacks occurred or did not: rejects and chargebacks are disclosed nowhere for 1995,S0801,"FACT (channels) / UNKNOWN (rejects, chargebacks)","High (channels, filing) / Medium (fax, press) / UNKNOWN (defect rates)","COR-13: the nine e-mail addresses are the S-1's, at orig. l.2174, and the toll-free line at l.2179-2180 — not the 1995-10-04 press release, which says only that customers order online and names no mailbox, toll-free, fax or e-mail ordering. 'Fax' occurs zero times in the ordering text of all three S-1 versions; it reaches Stage 1 only via Knight Ridder, Nov 1995 (S0612)."
Amazon.com,stage1,1995-12-31,"Manual choke points in the 'automated' store: special-order sourcing, price requotes needing customer approval, packing by staff, a ten-book wholesaler minimum beaten by hand",UNKNOWN count of manual steps,That per-order economics were labour-laden,"Magnitude: no labour-hour, error or rework measurement exists. The lichen-book workaround is a 1999/2000 founder recollection",S0803,"FACT (filings) / FOUNDER CLAIM (workaround, RETROSPECTIVE)",High (filings) / Medium (anecdote),Order-splitting software is disclosed; what it could not route went to an internal special-order group.
Amazon.com,stage1,1995-12-31,No 1995 evidence of repeat purchase exists anywhere in the record,0 measurements,Nothing about retention in Stage 1,That customers returned: '>40%' is a March-1997 statement about 1997 orders; 60% (May-1996) and 44% (Jan-1997) are company figures on unpublished definitions,S0803,UNKNOWN,High (of the null),"Stage-1 demand demonstrates first purchase only; cohorts, retention and acquisition cost are absent."
Amazon.com,stage1,1995-12-31,"Order counts, average order value, units per order and cost per order were never disclosed",UNKNOWN,Nothing: unit economics are structurally unmeasurable for 1995,"Any per-order claim, favourable or unfavourable",S0803,UNKNOWN,High (of the null),"Quarterly disclosure begins Q1-1996, so every 1995 weekly or monthly curve in the literature is non-primary by construction."
Amazon.com,stage1,1995-12-31,"Management-resource strain: 11 employees, no VP Engineering before March 1997, disclosed difficulty attracting qualified developers",11 persons,That the company named resource strain as its own risk in-window,That it bound the firm: contractors and temps were used but never quantified,S0803,FACT (audited disclosure),High,Hiring difficulty is corroborated by Kaphan's account; 'four employees in the garage' is memoir and conflicts with the filed 11.
Amazon.com,stage1,1995-12-31,The company's own filing warned that 'growth rates experienced to date are not sustainable',1 disclosed warning,"That the fragility of the growth story was visible at the time, to the company","A runway: the implied 3.5-year figure (DERIVED 996/284) is arithmetic on one year of burn, not a plan",S0801,FACT (audited disclosure),High,Recorded so no reader mistakes the 1995 growth for a demonstrated trend.
Amazon.com,stage1,1994 (claimed),"FAILED TRACING: the '2,300 percent a year' Web-growth statistic that supposedly drove the founding",0 occurrences in 1.44 MB of filings,That the figure was used publicly by the founder from 1997 journalism onward,"That any contemporary source contained it: the only documented underlying data are a February-1994 newsletter's growth FACTORS (x2,057, x2,560), restated as a rate by a 2013 book",S0202,FOUNDER CLAIM (provenance unestablished),High (that it is unsupported) / Medium (on what he read),RD-002 CLOSED as untraced (COR-11.7). Never carried into the metrics table as history.
Amazon.com,stage1,1994 (claimed),FAILED TRACING: the 1994 'roadmap' / 91-page notebook / 'Future of Computer Stores' planning document,0 artifacts; 0 quoted sentences,"That the founder DESCRIBED drafting a plan (rung 3): laptop 1997, prose-in-the-car 1999/2000, Excel 2013",That any such document exists publicly or was ever read by an independent observer; the audited S-1 never mentions a planning document at all,S0202,RETROSPECTIVE INTERPRETATION,High (that rung 3 is the ceiling),"RD-009 resolved at rung 3; strings '91 pages', 'the roadmap', 'Future of Computer Stores' return zero hits across S-1, the FY1997 10-K and every cached file."
Amazon.com,stage1,1995-07-16 (claimed),"FAILED TRACING: the 'first sale' legend and its dates - 16 July 1995, or 3 April 1995 (Wainwright, $27.95), or 'a science textbook'","4+ variants, 1 primary (month only)","That the month July 1995 is audited, and that the only figure common to all variants is $27.95","The day, the customer and the title: no 1995-97 Amazon document names a first customer, title or day",S0611,FOUNDER-ADJACENT CLAIM / RETROSPECTIVE INTERPRETATION,High (that the legend is unresolved) / Low (on every specific),U.2; RD-001 and RD-012. MarketWatch 2015 and Atlantic 2012 are one interview cycle; the Atlantic piece prints both 3 April and the company's July dating.
Amazon.com,stage1,1995-07 / 1995-08 (claimed),"FAILED TRACING: first-week sales of $12,000 and second-week $14,000, and the sentence 'shipped our first book in August 1995'",2 undated weekly figures; 0 filings,Nothing verifiable,"That they reconcile to anything: they are undated, Tier-2/3, and unreconcilable to a ship-basis audited year; the August sentence is absent from all five SEC documents searched",S0004,RETROSPECTIVE INTERPRETATION / documented null,Low,"COR-09. HistoryLink 2025 cites Stone 2013; one lineage, not corroboration."
Amazon.com,stage1,1995 (claimed),FAILED TRACING: the Bulgarian order said to have been paid on a floppy disk,0 corroboration,That the story circulates as a Stage-1 anecdote,That it happened: the closest artifact is a 2005-retold payment failure and no 1995-97 record supports it,SEE-SOURCES-PENDING,RETROSPECTIVE INTERPRETATION,Low,"Document named because no source_id resolves: The Seattle Times, 'Amazon at 10: Will it keep clicking?' published 2005-07-10, which is NOT registered in sources.csv. COR-09 lists this among figures that must never appear as Stage-1 fact."
Amazon.com,stage1,1997-01-05,REJECTED AS EVIDENCE: a hostile on-site order test reporting a 37-minute order and a 'confusing' order form,1 unusable test,Nothing: the byline carries Stephen Glass's fabrication record,That the 1995-96 order flow was slow - the proposition is left untested rather than answered,S0612,CONTEMPORARY OBSERVATION (rejected),Low (unusable),"Excluded on provenance, not on outcome; a re-test of the same proposition remains open."
Amazon.com,stage1,1994-1995,"DOCUMENTED NULL: no Washington Post ownership or media stake, and no 'Post credibility' mechanism, is evidenced",0 holdings; 0 references,"That the principal-holder table lists only Bezos, KPCB vehicles (1996) and individual directors, with parents and sister at $0.1717-$0.3333","Any borrowing of institutional credibility in Stage 1: it is absent by record, not by inference",S0801,FACT (of absence),High,COR-09: the Washington Post stake belongs in the retired-claims list.
Amazon.com,stage1,1994-1995,"UNSUPPORTED CHANNEL CLAIMS: no evidence that radio, television, search engines or paid media drove 1995 orders; customer gifts are undated and uncosted",0 attributed orders,"That FY1995 marketing was $200,000 with only $30,000 of advertising, so paid acquisition was near-absent",That any specific channel worked: referral share and word-of-mouth contribution were never measured in Stage 1,S0801,FACT (spend) / UNKNOWN (attribution),High (spend) / UNKNOWN (effect),'Traffic came from search engines' is not evidenced; the S-1's word-of-mouth account is an asserted theory filed under penalty of perjury.
Amazon.com,stage1,1995-12-31,"UNTRACEABLE MONEY STORY: '$1.1M from 22 friends and family at $50,000 each, ~20% for a ~$5M valuation'","23 purchasers, 3,021,000 shares, $1,007,000 as filed, window 1995-12-06 to 1996-05-16",That a disclosed round exists and is near the legend on magnitude,"That the legend's structure is true: per-investor amounts, the roster of 23 and any 1995 valuation are not disclosed anywhere",S0801,FACT (filed) vs FOUNDER CLAIM (legend),High (filed) / Low (legend),"COR-10 and RD-003: only an undated part of the $1,007,000 programme closed inside Stage 1; the audited CY1995 headline is $1,272,000. Do not average the two."
Amazon.com,stage1,1995-12-31,"DOCUMENTED NULL: no 1995 money-back, security or satisfaction guarantee language exists",0 guarantees in-window,Nothing in-window,That customers had any stated protection: the first retrievable '100% secure - guaranteed' wording is on a 1999-08-28 capture,S1712,FACT (of the null),High,"COR-09: any 1995 guarantee claim is out of evidence; trust devices in 1995 were a published phone number (press release dated 1995-10-04), a toll-free line and nine e-mail addresses (S-1 (orig.), l.2179-2180 and l.2174) — COR-13: the release itself names neither the toll-free line nor the addresses."
Amazon.com,stage1,1995-12-31,The core selection claim rests on an unidentified third party: catalogue data was 'licensed ... from third parties' with the licensor unnamed,1 unnamed licensor class,"That the million-title offer was a listing over licensed data plus distributor files, not owned stock",Who supplied the data: the Books-in-Print attribution rests on no retrieved document,S0803,FACT (that it is licensed) / UNKNOWN (vendor),High (licensed) / UNKNOWN (identity),"Ingram and Baker & Taylor are named as BOOK suppliers only, not as the bibliographic-data source."
Amazon.com,stage1,1995-12-31,FOUNDER-STATE GAP: no contemporaneous founder-state interview exists for Stage 1,0 in-window interviews; 1 company-issued quotation,That the 1995-10-04 press release carries a Bezos quotation dated inside the window,His reasoning: what exists is a publicity quotation and retrospective interviews conducted from 1999,S0203,FOUNDER CLAIM (retrospective),High (that the gap is real),COR-06: Sheff self-dates to a 1999 interview published 2000; his genuine 1994 Wired profile of Bezos remains unfound (RD-013 closed with no contamination).
Amazon.com,stage1,2026-09-23,EVIDENCE DESTRUCTION AND RESTORATION: the shared evidence cache was destroyed mid-run; several load-bearing sources remain restoration-pending,8 documents restored; several still pending,That four load-bearing quotations were re-verified verbatim against restored primary text,"That the corpus is complete: lat.txt, stone.txt, wiki.txt, p.html, amztimeline.html and wb_amazon.html remain unrestored",S1712,FACT (of the archive state),High,RD-014 partially closed. Records citing unrestored items are marked restoration pending; none carries a Stage-1 fact that is not duplicated in a filing or the 1995-10-04 release.
Amazon.com,stage2,1997-03-31,Working capital of 79 thousand dollars at the last pre-IPO balance-sheet date,79k (a 96.5% fall from 2270k at 1996-12-31),"That the company had run its operating and inventory cycle ahead of its cash, and that the offering was a constraint rather than an option","That the quarter-end snapshot understated or overstated intra-quarter strain, which no monthly data exists to test",S0803,FACT + DERIVED,High,Approximately 17 days of FY1996 operating burn or approximately 10 including capex. The four-days figure is retracted (U.58).
Amazon.com,stage2,FY1996,Marketing and sales of 6090k at 38.7% of net sales against a 22.0% gross margin,1.76 dollars of marketing per dollar of gross profit,"That the company was buying awareness faster than product margin could fund it, and that the operating loss ratio worsened to -38.0% of sales","That the spend was ineffective, or efficient: no channel is attributed revenue anywhere and the caption bundles fulfilment payroll",S0803,FACT (audited) + DERIVED,High,The stage's central negative signal and it is true ONLY on the filed numbers; the received 4322k would have hidden it (U.60).
Amazon.com,stage2,FY1996,Operating loss of (5979)k on 30.8x revenue growth,(5979)k loss from operations and (5777)k net,"That growth was being purchased, not harvested","That the losses were investment rather than cost, which is a judgement no in-window document records",S0803,FACT (audited),High,Absolute losses rose 19.7x while the loss ratio improved on the denominator rather than on cost control (S2B-09/10).
Amazon.com,stage2,1997-03,84.0% of the advertised catalogue has no disclosed fill path,at least 2100000 of more than 2500000 titles,That the assortment claim and the sourcing capability were two different things and the company disclosed the fact itself,"That customers were disappointed, or not: no fill, back-order, returns or complaint datum exists and no in-window page survives",S0803,FACT + DERIVED,Medium (both terms company-defined),B&N's own 10-K files the same 400000 as overnight physical stock (U.80); the ceiling then disappears from the FY1997 report (U.49).
Amazon.com,stage2,FY1996,Single-supplier concentration with no contract,59% of FY1996 inventory purchases,"That the whole selection claim depended on one wholesaler with no agreement, no guaranteed availability and no filed terms","That the dependence was costly or risky in the event, which is post-boundary knowledge",S0803,FACT (audited),High,The same filing states the distributor may help rivals establish online sites: the chokepoint reads both ways and the company printed that.
Amazon.com,stage2,1997-05-15,One site with no redundancy and acknowledged continuing outages,approximately 92400 sq ft all Seattle; processes all sales through its warehouse in Seattle; interruptions it believes will continue,"That a single failure point sat behind 100% of transactions, disclosed","That an outage occurred in-window, of what duration or with what revenue effect: no dated incident record exists anywhere",S0801,FACT,High,The second distribution centre is FY1997 and post-boundary; it proves nothing about what the 1996 system was being scaled toward (U.104).
Amazon.com,stage2,1997-03-31,The transaction system is not integrated with the accounting and financial systems,quoted disclosure,That the system presented as the company's advantage could not measure itself for its own financial statements,"That this caused an error, a delay or a lost sale",S0801 and S0803,FACT,High,Carried from Stage 1 unchanged into the priced document: the disclosure survived two amendments and a prospectus.
Amazon.com,stage2,1997-03-31,A senior cohort the registrant itself dated at four to five months,256 employees; no CIO; acknowledged difficulty attracting developers; no finance officer until 1996-12,That governance and management depth lagged the operating scale through the entire stage,"That this mattered, which no document addresses; the four-versus-five difference is one sentence re-dated, not an inconsistency",S0803,FACT,High,Nine of ten named officers and directors arrived after the June 1996 money: governance was assembled under an IPO deadline and not evolved (U.70).
Amazon.com,stage2,1996-12-31,Demand was rented and its cost is not separable,seven named banner sites plus aggregators on fixed payments; accrued advertising 0 to 598k to 1254k; no assurance of adequate revenues is FY1997 wording,That paid distribution had become material enough to accrue on the balance sheet,"That it worked, what it cost per channel, or what any site delivered: no spend, start date or result for any named channel",S0803,FACT + FACT (a word absent from all three 1997 registration documents),High,The no-assurance language appears only in the FY1997 report: the company's own later hedge on a 1996-97 spend (U.51 U.88).
Amazon.com,stage2,1997-01 to 1997-05,The incumbent escalated from a trademark letter to a federal suit in the four months before pricing,letter 1997-01 and complaint 1997-05-12,That a 2.4bn dollar retailer directed legal attention at a 256-person company two days before its amendment,"That the claim had merit, or none: the action is absent from the FY1997 report and its disposition is UNKNOWN",S0803,FACT,High,The claim's content is the finding: it attacks the warehouse and the word bookstore - the exact 16.0% fill arithmetic the prospectus files (U.68).
Amazon.com,stage2,1997-05-15,Disclosure retreat across the lineage: five disclosures present in 1997-03 and 05 are absent by 1998-03-30,the 400000-of-2.5-million ceiling; ONLINE COMMERCE SECURITY RISKS; SALES TAX COLLECTION; DEPENDENCE ON CONTINUED GROWTH OF ONLINE COMMERCE; and the B&N proceeding,That the risk and dependency record contracted across one reporting year without any statement that a condition resolved,That any of them was retired because it was fixed: the sales-tax factor disappears in the year the Delaware centre opens,S2C-49 with S2C-34,FACT (differentials) + FACT (documented nulls),High,A retired disclosure is not a resolved condition: the measurable form of the survivor's selection asymmetry (U.71).
Amazon.com,stage2,1997-04,The company disowned its own most flattering coverage,a DEC advertisement claiming 3000% growth was printed and rejected; an April 1997 report was rejected; the IPO release carries no Bezos quotation,That the firm's own conduct was disciplined about public claims,"That the rejections were principle rather than counsel, or that anything improved: no document states a motive",S2E-22 / S2E-42,FACT,Medium,Counter-hindsight: the confidence later readings assign to 1996 Amazon is absent from 1996 Amazon's own record (U.96).
Amazon.com,stage2,Stage 2,Failed experiments actually dated inside the window,EMPTY,"Nothing: no dated failed test, abandoned feature, retracted price or discontinued channel appears in any accession",That none occurred. The absence is the archive's and not the company's and is a selection effect of a survivor's paper,documented null; S2A-G3 S2A-G7,UNKNOWN,High (that none is retrievable),The stage's largest single evidentiary hole on the negative side; contemporaneous negative coverage is UNTRIED.
Amazon.com,stage3,1999-03-31,Auction revenue minimal in the launch quarter,"minimal, unquantified",a launched category can be immaterial immediately,whether it would grow - nothing later in the window quantifies it,S30060,COMPANY SELF-REPORT,High,
Amazon.com,stage3,1999-09-30,No previous experience with automated distribution centres while five were opening,5 sites,the company knew and filed its own execution gap before the peak,"any actual failure: no dated outage, backlog or fill-rate miss exists in the corpus",S30065,FACT,High,
Amazon.com,stage3,1999-04-07,Business complicated faster than systems,"new products, services, geographies, acquisitions, additions to the business model",management self-assessed the cost of breadth,any measured consequence of it,S30068,FOUNDER CLAIM,Medium,the letter also flags restructure systems for multi-billion dollar scale
Amazon.com,stage3,1998-08-05,Antitrust action naming Amazon with B&N and Borders,"$11.25m actual sought, treble",Amazon's price structure was externally characterised as injury to independents,merits: dismissed with prejudice by the plaintiffs on 1999-03-04 with no adjudication,S30062,FACT,High,
Amazon.com,stage3,1999-09-30,split shipments rising with the new openings,not quantified,"inventory spread across sites converts one order into multiple parcels, which the company flags against its own shipping margin",a measured split-shipment rate or shipping cost per order,10-Q_Q3-1999 L927,FACT,High,ST3D-22/34
Amazon.com,stage3,1999-09-30,no previous experience operating automated distribution centers,stated as an absence,the automation build-out outran the company's operating knowledge of it,whether the inexperience produced an incident inside the window,10-Q_Q3-1999 L1631,FACT,High,softened to 'limited experience' in the FY1999 report (U.D… ST3D-35)
Amazon.com,stage3,1999-12-31,inability to staff distribution and customer service centers in peak periods,no figure filed,"labour, not capital, was the binding constraint named for peak season",that understaffing actually occurred,10-K_FY1999 L1059,FACT (risk statement),High,no figure filed for peak staffing shortfall
Amazon.com,stage3,1997-05-12,competitor suit denying that Amazon physically warehouses most titles,legal claim; no damages figure,the single-warehouse model was an operational fact competitors could attack publicly,that the claim was true; the suit's outcome is outside the corpus,S2D-53 (424B1 L2519-2530),FACT,High,the 1999 language of 'control over the distribution process' answers it
Amazon.com,stage3,"1999 (full year)","Fulfilment costs rose as a share of net sales against the company's own stated expectation that they would fall","11.5 percent of net sales in 1999 against 8.25 (1998) and 8.19 (1997); dollars 15.6x in two years against sales growth of 11.1x","That the capacity build-out outran the volume through it, and that the company disclosed both the expectation and its falsification in one paragraph","That the programme failed: absolute cost per shipment is not computable because no order count exists",S30075,"FACT (audited note) + FACT (company expectation)",High,"§P241 §P.2 t16 §R Weaknesses (3). The clearest in-window case of guidance contradicted by the same filing")
Amazon.com,stage3,1999-07-21,"A public distribution-centre count that the interim filing would not certify","seven DCs and nearly 4 million sq ft claimed for the holiday season; five opened certified for the nine months to 1999-09-30","That the company's operational claims ran ahead of its certified record by two sites, and that the verb discipline of a 10-Q is the check on a release","That the estate was smaller than claimed: by 1999-12-31 the FY1999 10-K lists eight US sites, so the direction was right",S30083,"COMPANY CLAIM vs FACT (as filed)","High (each text) / Medium (the claim)","§P255 U.151")
Amazon.com,stage3,"1999-06-09 / 1999-06-10","Part of what Amazon bought had no established technological feasibility and no alternative future use","approximately $2.8 million of the Accept.com and Alexa purchase price expensed as in-process R&D","That the 1999 acquisition programme carried disclosed immaturity at the moment of purchase, priced by independent valuation","That any acquisition failed: $2.8m is 1.5 percent of the roughly $189 million Accept.com price alone",S30082,"FACT (audited note)",High,"§Q U.165. The nearest thing in the whole Stage-3 corpus to an admitted failure with a number attached")
Amazon.com,stage3,"1999 (Auctions and zShops)","The company disclaims the delivery performance a retailer's margin implies","no possession taken, no agency, responsibility for delivery disclaimed; risk factors carry non-completion by users","That the marketplace transferred fulfilment risk outward and disclosed doing so","That transactions failed at any measured rate: no completion rate, dispute rate or volume is filed",S30075,"FACT (as disclosed)",High,"§P270 §R Marketplace. A structural admission, not an incident")
Amazon.com,stage3,2000-09-08,"Two audited errors admitted in one amendment","Note 9's weighted-average exercise prices for options cancelled and exercised were 'inadvertently transposed' and the 1999 exercised price was incorrect; the whole cash-flow presentation re-based","That the FY1999 annual report required an amendment within six months of filing, on a line as basic as cash and a table as basic as option prices","That anything economic changed: the amendment states the aggregate of cash equivalents and marketable securities did not move",S30082,"FACT (company's own statement)",High,"§P258 U.154 U.166")
Amazon.com,stage3,1998-12-31,"Amendment of a current report inside a financing week, with no reason stated","Form 8-K/A filed 1998-10-26 amending the event 1998-08-12","That the original was wrong or incomplete","What was corrected — the body does not say and the pair was not diffed in this pass",S30023,"FACT (documented correction)",High,"§S row 14. Reparable locally at zero request cost")
Amazon.com,stage3,1999-03-30,"The marketplace launch produced no measurable revenue in its first quarter","the company filed auctions revenue as minimal in the launch quarter while converting a registered buyer base of roughly 8 million into sellers","That the marketplace's first-quarter contribution was immaterial on the company's own account","That the model had failed: no take rate, listing count or GMV exists to measure it against",S30020,"FACT (as disclosed)",Medium,"§P249 §R Marketplace")
