company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Apple,stage1,U.037 UNTRIED: Kilobaud September and November 1976 text layers,A FETCH REQUEST handed back by s1_p1 and s1_p2 and not fetched on either pass (web budget 0); the cached items carry no text layer,VERY HIGH,none,MEDIUM-HIGH potential,FETCH REQUEST: IA items Kilobaud197609 and Kilobaud197611 to sources/ia_kilobaud_1976/ then local OCR then grep for an Apple price line
Apple,stage1,U.038 UNTRIED: Creative Computing 1976 text layer and its 1977-1981 IPO run,Named as an unmined family by the probe and by both parts; never intaked so never searched,HIGH,none,MEDIUM potential,FETCH REQUEST: Creative Computing 1976-07 to 1976-12 and 1977-08 to 1978-06; query 'Creative Computing 1976 Apple price advertisement' and 'Creative Computing 1977 Apple revenue prospectus'
Apple,stage1,U.039 UNANSWERED then UNTRIED: the 1976 instruments' text,Christie's lot page fetch returned HTTP 403 (artnet); the Sotheby's New York 2011-12-13 lot 241 catalogue of the same object was never requested,VERY HIGH,C-27/C-28/C-29/C-34 the catalogue description,High (existence) / Low (terms),Browser route to the 2026 lot text and a new request for the 2011 Sotheby's lot pages
Apple,stage1,U.040 UNTRIED: RR Auction's 50th-anniversary lot clause,C's own research-debt line assigns this route for a transcribed withdrawal clause; not fetched on any pass,HIGH,AP-20 and C-31's secondary reports,Low,Request the RR Auction lot page and treat the result inside U.003's vendor lineage not as a new witness
Apple,stage1,U.041 UNTRIED: the paper-only 1980 registration statement and prospectus FY1976-1977 columns,EDGAR's electronic floor for this registrant is 1994-01-26 so no scripted route reaches it (sources/EDGAR_submissions_CIK0000320193.json),VERY HIGH,A2-49/A2-50 the 1981 column as a substitute,UNKNOWN on the values,SEC Public Reference Room or National Archives II paper accession search; or an IPO-era newspaper carrying the prospectus extract
Apple,stage1,U.042 UNANSWERED: the 1977 California charter and any statement of information,The SoS API did not answer (C-07); the paper route was never run; the Utah filing hypothesis was tried and produced nothing (C-26) and must not be re-run as though untried,HIGH,C-01's exhibit-index pointer to the SoS as charter registry,High (existence likely) / UNKNOWN (contents),Paper request to the California Secretary of State for the 1977-01-03 articles and the first statement of information
Apple,stage1,U.043 UNANSWERED: county land and assessor records for the premises,Santa Clara County portals returned 403 and 000 (AP-36); the microfilm or counter route is untried,MEDIUM-HIGH,C-34's bracket and A2-27's 1977 address of record,UNKNOWN on premises at any 1976 date,County recorder and assessor search for 20211 Crist Drive and the Cupertino suites 1975-1977
Apple,stage1,"U.044 UNTRIED: Homebrew Vol 1 No 1-8 (1975-03 to 1975-10) and Vol 2 No 8, 10, 12, 14-21","Only 13 of 32 enumerated items are cached (A2-76, DG-12)",HIGH,The thirteen cached items and their counted silences,High that uncached,Enumerate via archive.org advancedsearch then fetch each identifier's djvu.txt and grep with lines 1-5 excluded
Apple,stage1,U.045 UNTRIED: BYTE August 1977 through November 1980,Not on disk; the stage's later half is unmined and the corpus jumps to 1980-12,HIGH,A2-49's 1981 endpoints,High that uncached,Fetch byte-magazine-1977-08 through byte-magazine-1980-11 via archive.org/metadata then items-server djvu.txt
Apple,stage1,U.046 UNTRIED: Business Week 1976-07-12 the Byte Shop feature named in 1976 print,Dated and named by A2-10 and never retrieved (DG-11),MEDIUM-HIGH,A2-10's pointer,MEDIUM potential,Newspaper back-file search: 'Business Week' July 12 1976 'Byte Shop' computer store
Apple,stage1,"U.047 UNTRIED: component procurement, contract assembly and UCC filings","No procurement, vendor, payroll or UCC record exists in any cached family and the family was never attempted",HIGH,A2-26 'completely assembled and tested'; the derived memory-cost spread at A2-28,UNKNOWN,Trade-journal search for 6502 distributors and hobby-board assembly houses; Santa Clara County UCC-1 index 1976-77
Apple,stage1,U.048 UNTRIED: court records for Wayne's later suit and any pre-1990 Apple docket,One index search returned nothing before 2003-10-08 (C-06); PACER and county indexes were not searched,MEDIUM,C-06's index result,High (2003 outer date) / UNKNOWN (earlier filings),Search 'Apple Computer' partnership debts 1976-1978 in California federal and county indexes
Apple,stage1,"U.049 UNTRIED: Terrell's Polaroids at image level; an Apple-I manual, silkscreen or box sheet",No such artifact is held under sources/; the registry publishes serials only,MEDIUM,sources/apple1registry_stories.txt serial census,UNKNOWN,Request image-level reads of the Polaroids and a manual or silkscreen intake from the collector corpus
Apple,stage1,U.050 UNTRIED: Apple's own press releases 1976-1980 and general-interest press,The company's web record begins 1996-10-22 (AP-08); Chronicling America returned 403 in the probe and newspaper back-files are unattempted,MEDIUM,none,UNKNOWN,Chronicling America retry plus 'Apple Computer' 1977 press release in newspaper and text collections
Apple,stage1,U.051 UNTRIED: a local OCR run over the cached Kilobaud JP2s,No text layer exists and no OCR toolchain was in any part's write scope; this is compute not access,HIGH,The cached item identifiers,MEDIUM-HIGH potential,Run tesseract over the JP2s into sources/ then re-grep with headers excluded
Apple,stage1,"U.052 UNTRIED: the unbuilt periodical families (InfoWorld, 73, Softalk, People's Computer Company, Radio Electronics)",Method section 14 rule 6 makes an untried family not a null; none was attempted in Stage 1,HIGH,none,UNKNOWN,"Enumerate each family's 1976-1978 issues and intake before any further depth verdict on sections H, I and L"
Apple,stage1,U.053 UNTRIED: a full-text and assignment search of the patent register to exhaustion,The first read stopped before page 2 of the result set (C-35),MEDIUM,C-35's four dated applications,Medium,Re-run the assignment search to exhaustion and read the assignee block of each granted specification
Apple,stage1,U.054 UNTRIED: page-sequence verification of the 1976 BYTE items and the tools harvester run records,The July 1976 impossibility (U.018) closes only on a page-sequence inspection; _MANIFEST.md places the harvester records off-limits for moving,MEDIUM-HIGH,sources/ia_byte_1976/byte-1976-07.txt internal cross-references,High (defect) / UNKNOWN (cause),Read-only inspection of tools/_dryrun_20260924.txt and tools/_live_run_20260924.log plus IA metadata page order; do not move or delete
