company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Walmart,stage1,Whether any competitor or third party ever counted Wal-Mart's stores before 1972 — A3 §7.2(d)'s named missing witness,"*Chain Store Age*'s annual ""Directory of Chain Stores"" is the exact instrument and sits behind the blocked Google Books route; D&B / Hoover's firm reports were never reached",High,A3 §7.2(d); A2/A4 route logs,UNKNOWN,"FETCH REQUEST (off-environment or keyed): Chain Store Age 1963–1970; *Discount Store News* / *Discount Merchandising* 1962–1970; D&B discount volumes; AUDITS & Surveys; the Cornell discount-chain study the company itself cites in FY1973 (S0102 W-38, never located) | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.113, U.213"
Walmart,stage1,What the founder decided and why — every rationale in §N,No document before March 1972 records a choice; the 1992 memoir's bytes are not in this repository and it is not admitted as evidence,High,"part 1 §B.1; §N.1's eight rows, all with `Rationale: NOT STATED`","UNKNOWN — and this is a finding, not a failure of search: it is the record-selection null (§2)","memoir as a text (library interprint, not this machine); internal-corporate papers at a repository; U.219 | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.109, U.110, U.219"
Walmart,stage1,The 1970-08-27 / 1970-09-03 first-trade cluster used by some accounts as the opening of Stage 2,Not on disk at all; part 1 §C.0 records the rejected candidate as UNKNOWN,Medium,part 1 boundary table,"UNKNOWN, and not asserted","an exchange- or quotation-record fetch (outside Stage 1's evidence classes so far); the 1972/1978 SEC issuer registers would at least date the *listing* leg | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.201, U.216"
Walmart,stage1,Whether the annual-report genre simply had no place for a founding rationale — the one alternative explanation for §C's central silence,Untestable on a corpus whose only company documents are annual reports,Medium,part 1 §C.1 coda,UNKNOWN,"read a different company's 1950s–60s printed reports as a control (genre test, non-Walmart); or the company's own non-report print (stockholder letters, newsletters, meeting transcripts) | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.222"
Walmart,stage1,"No document of any kind in this corpus names the company before 1972-03-22 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: the nine reports; 13 BW index volumes (S0112–S0124); 8 *Stores* apparatuses (S0125–S0133); 2 SEC government documents (`S0139`, `S0140`); EDGAR (floor 1994-02-14); web archives (floor 1996-12-29). NOT the whole of print","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.101,High,U.2 route/null anchor U.101 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"FY1962–FY1967 — every financial and physical variable EMPTY; earliest counted year FY1968 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: nine reports, all summary tables and narrative pages; the FY1974 five-year table starts FY1970 and the FY1978 nine-year table starts FY1970, so later restatement cannot reach it either","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.102,High,U.2 route/null anchor U.102 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"FY1968–FY1969 cost of sales, expense, balance sheet, shares, headcount, square footage [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: same perimeter","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.103,High,U.2 route/null anchor U.103 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"No FY1970 or FY1971 annual report exists on this route [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: IA `title:(""wal-mart"") AND year:[1962 TO 1971]` → numFound 0; admissible because the same query style returns known-good hits in the same index. Hoover's / LOC-WorldCat / SEC Reference Room UNTRIED","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.104,High (as an IA-holdings null; not a loss null),U.2 route/null anchor U.104 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"No total store square footage before FY1976 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: FY1972–FY1975 print additions only","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.105,High,U.2 route/null anchor U.105 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"No market price before FY1975 anywhere in the corpus [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: earliest price table is in the FY1976 report, reaching back only to fiscal 1975","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.106,High,U.2 route/null anchor U.106 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"No comparable-store figure for any year except FY1978 (plus the FY1972 cohort sentence) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: nine reports; FY1979/FY1980 Management's Analysis not re-walked (U.217)","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.107,High,U.2 route/null anchor U.107 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"No legal person named for 1945–1962; the predecessor subsidiaries are never enumerated; the outcome of the IRS proposals is not stated [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: nine reports; the reports say ""the various subsidiaries""","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.108,High,U.2 route/null anchor U.108 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"No document states the problem the 1962 format answered, or any rationale for any in-window decision [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: nine reports + all company/press/agency documents read. §C's ""single most consequential silence""","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.109,High,U.2 route/null anchor U.109 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"No 1945, 1946, 1950 or 1962 primary document (agreement, lease, deed, permit, register tape, photograph, press item) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: whole corpus; the museum's 1950 bill of sale and the 1962 advertisement image are leads, not bytes","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.110,High,U.2 route/null anchor U.110 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,"7 of ~200 *Stores* monthly issues 1945–1961 name nobody relevant (1946-06, 1950-06, 1951-06, 1955-06, 1958-06, 1961-03, 1961-12); all five *Stores* annual indexes that exist on this route carry zero Wal-Mart entries [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: 193 issues UNTRIED (U.212); the annual index is subject-only, so a zero means ""not indexed under that word""","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.111,"Medium; the licensed sentence is ""the issues sampled do not name it""",U.2 route/null anchor U.111 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"The SEC's complete register of exchange-traded issuers at 1970-12-31 prints the company 0 times in 153,481 words [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: exchange-listed securities only: not Securities Act registrants, not §12(g)/OTC registrants, §3(a)-exempted issues excepted. W-block legible (WALGREEN…WALWORTH), so OCR loss excluded","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.112,"High — informative, and the only independent datum in Stage 1",U.2 route/null anchor U.112 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"No press figure for this company in any year 1962–1980 has been recovered [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: every item read in A4; the row is recorded as EMPTY-within-the-corpus and the independent-lineage count stays at 1 — a sector number is never substituted for a company number","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.113,High,U.2 route/null anchor U.113 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"FY1973, FY1976 and FY1978 headcount UNKNOWN; FY1976's employee chart is OCR-damaged [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: nine reports; page images UNTRIED (U.206)","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.114,High (that the numbers are absent),U.2 route/null anchor U.114 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"The company's own curated timeline is silent about everything before July 1962 — no Newport, no 1950 Bentonville store, no lease-loss story, no Bud Walton, no Plaza store [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: one document, but a *finding about curation*: the self-narrative omits the very years the annual reports narrate, so page and reports cannot be counted twice","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.115,High (documented absence on a document on disk),U.2 route/null anchor U.115 | follow-up: none assigned by the part; the next pass reads it against the named UNTRIED route in s1_p3.md U.3 (see the U.2xx rows in this file)
Walmart,stage1,"No dividend row exists before FY1974 in any print, and FY1974's own table has none [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.2 (documented nulls) so that the U.1nn anchor this row carries has a register row; it is a null-with-a-perimeter, not a search failure]","Stated perimeter, verbatim from U.2: the first evidenced payment is $.025 on 1974-04-05, RESTAT in S0107's nine-year table","UNKNOWN - U.2 states the null and its confidence, not an importance grade; the merge does not infer one (s13: an importance grade is a judgment, and s15.1 reserves it to agents)",The perimeter sentence is the best available evidence: it bounds exactly what the silence licenses. Anchor row in the narrative: U.116,High,U.2 route/null anchor U.116 | follow-up: none assigned by the part; the next pass reads it against the sources named in the perimeter cell
Walmart,stage1,1972–1979 SEC issuer registers (1978 *Securities traded*; 1979NO1 §13(f) list) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"FETCH REQUEST — in flight (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: FETCH REQUEST — in flight),Owner at release time: mining agent | anchor U.201
Walmart,stage1,"On-disk but unmined `ia_arkgaz.json`, `ia_satpost.json`, `ia_supermerch.json`, `ca_01_waltons_five.json`, `gb_01_waltons_five_and_dime.json` [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","FETCH/FILE REQUEST — in flight (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: FETCH/FILE REQUEST — in flight),Owner at release time: mining agent | anchor U.202
Walmart,stage1,EDGAR `formerNames` / former-name + state-of-incorporation search (local) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"in flight (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: in flight),Owner at release time: mining agent | anchor U.203
Walmart,stage1,"FY1976 origin-wording re-walk (`WALMART_AR_1976.txt`, A2's partially-OCR'd W-50) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","FETCH REQUEST — in flight (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: FETCH REQUEST — in flight),Owner at release time: mining agent | anchor U.204
Walmart,stage1,FY1975 page-image digit test (`_text.pdf`) → settles U.016 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"FETCH REQUEST — in flight; declared `S0111` lead (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: FETCH REQUEST — in flight; declared `S0111` lead),Owner at release time: mining agent | anchor U.205
Walmart,stage1,"Page images FY1974/77/78/79 → U.017, U.018, U.026, U.047, FY1975 balance sheet, FY1976 chart [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED),Owner at release time: — | anchor U.206
Walmart,stage1,HathiTrust full-view page text (the 573-record pool; 52 SEC serials) [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNANSWERED (403 on `/cgi/pt` and `/cgi/imgsrv/html`; search and catalog answer) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNANSWERED (403 on `/cgi/pt` and `/cgi/imgsrv/html`; search and catalog answer)),Owner at release time: — | anchor U.207
Walmart,stage1,"NLRB *Court decisions* v.26 (1973–74), *Decisions and orders* v.201 (1973); FAA *civil aircraft register* 1971–78 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned]","UNTRIED (`X-A5/1`) — the most probable positive-naming class ever located here (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (`X-A5/1`) — the most probable positive-naming class ever located here),Owner at release time: — | anchor U.208
Walmart,stage1,SEC *Directory of companies filing annual reports* 1970/1971/1972 [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (`X-A5/4`) (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (`X-A5/4`)),Owner at release time: — | anchor U.209
Walmart,stage1,1970 registration statement: EDGAR full-text + SEC Reference Room / National Archives [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (`X-A5/3`) — the only accession-numbered route to the IPO years (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED (`X-A5/3`) — the only accession-numbered route to the IPO years),Owner at release time: — | anchor U.210
Walmart,stage1,Arkansas SoS; Benton County and Mississippi County deed/incorporation files [TRANSCRIBED AT MERGE 2026-09-26 from s1_p3.md U.3 (UNANSWERED and UNTRIED routes) so that the U.2nn anchor this row carries has a register row; s14 rule 6 requires an untried route to stay on the register rather than be re-burned],"UNTRIED (state as the part recorded it; this is a statement about this environment or about what was never attempted, never a null about the past)","UNKNOWN - U.3 states a route state, not an importance grade; not inferred at merge (s13)","The route description in the U.3 row, plus its owning agent; detail in s1_p3.md U.3 and in UNTRIED ROUTES, CARRIED FORWARD (stage_1_part_2.md)",UNKNOWN (route state: UNTRIED),Owner at release time: — | anchor U.211
