company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Target,stage1,U.019 no contemporaneous periodical mention of Target or of the Goodfellow and Dey names,only one periodical leg is held and it is an advertising gather,High,Chain Store Age April 1963 greps Target 0 Goodfellow 0 Minnesota 0 Hudson 3 Dayton 2,High,U.032 HathiTrust and Google Books task set plus U.034 a second carrier
Target,stage1,U.020 why GEISSE leaves the officer pages after FY1967,company print records offices and never reasons,High,three GEISSE hits FY1965 FY1966 FY1967 and zero after against eighteen DOUGLAS J. DAYTON hits,High,U.030 PDF officer pages and U.031 the Geisse obituary
Target,stage1,U.023 the FY1970 layer byte count disagreed between the probe table and the disk,transcription error in the probe table,Low,disk and sidecar both 53023 B,High,"none needed - correct at merge and log the count  COR-05 corrected at merge (53,023 B)."
Target,stage1,U.027 EDGAR full-text-search zeros for the four predecessor terms over 1940-1995,index floor - that corpus begins 2001,Medium,held zero-hit JSON responses,UNKNOWN,run an unrestricted control query with no date filter and record the hit counts as a floor test
Target,stage1,U.029 intake tooling cannot enumerate or address this item's per-year layers,ia_text.py search returns field-less docs; ia_text.py fetch 404s on filenames containing spaces and would otherwise return the largest layer (2024) for --id 01-target-archive; sec_intake index discards formerNames; periodical_harvest has no target task set,High,enumeration by hand against the same endpoints with responses held under sources/ia_search/,High,hand the four defects to the orchestrator as TOOL DEFECTS not evidence and re-run intake once fixed
Target,stage1,U.030 the 17 PDF image legs of item 01-target-archive were never fetched,not attempted inside this pass's zero web budget,High,item metadata enumerates the PDFs for 1965-74 1976 1985-86 1990-91 1994,UNKNOWN,fetch per-year PDFs into sources/corporate_print_pdf/ with sidecars and re-OCR the roster five-year and officer pages; alternatively a ProQuest Historical Annual Reports copy
Target,stage1,U.032 book corpora never searched for the pre-1965 leg and for Target Stores Inc 1962-1966,periodical_harvest has no task set for this company and Google Books needs an absent API key,High,HathiTrust reaches 1950s-1960s print and is the route most likely to lift the tier from T2 to T1,UNKNOWN,add a target task set to tools/queries.json then run periodical_harvest with --use-curl for HathiTrust and GOOGLE_BOOKS_API_KEY for Google Books
Target,stage1,U.033 local newspaper back-files never searched,not attempted; Chronicling America has no Minnesota 1962 coverage for the window,High,trade press and company print only,UNKNOWN,Star Tribune and St Paul Pioneer Press 1961-08 to 1962-12 and the Sentinel microfilm at the Minnesota Historical Society or the Minnesota State Archives
Target,stage1,U.034 no second carrier for the same reporting years,all eleven layers are one uploader's item so every Stage-1 record is one lineage,High,IA collection fund-and-stock-reports may hold independently digitised Dayton reports,UNKNOWN,advancedsearch on collection fund-and-stock-reports for dayton company per-year items called directly because ia_text.py search is broken on this build
Target,stage1,U.035 XBRL and the FY1993 10-K never fetched,sec_intake facts never invoked and the first 10-K never retrieved,Medium,accession 0000950131-94-000539 is enumerated in the held index,UNKNOWN,run sec_intake facts for TGT and fetch accession 0000950131-94-000539 for its five-year selected data reaching back to 1989
Target,stage1,U.036 predecessor-CIK index routes never run,blocked by the 503s recorded at U.025,High,none - the question is open,UNKNOWN,browse-edgar action getcompany for dayton dry goods j.l. hudson dayton company dey brothers then sec_intake index --cik n --from 1930-01-01 --to 1985-12-31
Target,stage1,U.037 the five unverified layers never re-verified under trusted transport,stale local CA store,Medium,readable bytes with UNVERIFIED TLS sidecars,High,upgrade certifi or use the documented --use-curl fallback then re-fetch the same five URLs and re-stamp before any of Q3-Q8 Q16-Q19 or section K.3 is cited at High
